name,water_level,discharge_value,date
р.Ертис - с.Абылайкит,274,0,2024-11-26
р.Абылайкит - с.Самсоновка,244,3.48,2024-11-26
р.Ульби - г. Риддер,325,0,2024-11-26
р. Шаровка - с. Шаровка,177,NA,2024-11-26
р. Кара Ертис - с. Боран,179,114,2024-11-26
р. Бас Теректы - с. Мойылды,90,0.59,2024-11-26
р. Калжыр - с. Калжыр,374,14.5,2024-11-26
р. Улкен Бокен - с. Джумба,231,0.93,2024-11-26
р. Кайынды - с. Миролюбовка,110,NA,2024-11-26
вдхр. Буктырма - с. Куйган,606,0,2024-11-26
вдхр. Буктырма - с. Аксуат,605,0,2024-11-26
р. Куршим - с. Маралды,187,22.8,2024-11-26
р. Куршим - с. Бирлик,167,40,2024-11-26
р. Нарын - с. Улкен Нарын,145,12.9,2024-11-26
вдхр. Буктырма - с. Хайрузовка,603,0,2024-11-26
р. Нарын - с. Кокбастау,295,6.43,2024-11-26
р. Буктырма - с. Барлык,38,39.8,2024-11-26
р. Буктырма - с. Берель,76,16.7,2024-11-26
р. Аксу - с. Аксу,90,19.1,2024-11-26
р. Урыль - с. Урыль,145,0.98,2024-11-26
р. Черновая - с. Черновое (Аккайнар),478,1.15,2024-11-26
р. Сарымсакты - с. Катон-Карагай,295,NA,2024-11-26
р. Акберел (Aкбулкак) – с. Берел,292,0,2024-11-26
р. Буктырма - с. Лесная Пристань,310,123,2024-11-26
р. Левая Березовка - с. Средигорное,88,2.4,2024-11-26
р. Тургысын - с. Кутиха,58,23.9,2024-11-26
вдхр. Буктырма - с. Заводинка,557,0,2024-11-26
вдхр. Буктырма - с. Селезневка,597,0,2024-11-26
р. Хамир - с. Малеевск,107,9.95,2024-11-26
р. Березовка - с. Соловьево,92,2.49,2024-11-26
р. Смолянка - с. Северное,54,0.19,2024-11-26
р. Ульби - с. Ульби-Перевальное,49,25.2,2024-11-26
р. Глубочанка - с. Белокаменка,211,0.61,2024-11-26
р. Красноярка - с. Предгорное,187,2.71,2024-11-26
р. Улан - с. Герасимовка,252,0.56,2024-11-26
р. Дресвянка - с. Отрадное,11,0.35,2024-11-26
р. Сибе - с. Алгабас,107,NA,2024-11-26
р. Жартас - с. Гагарино,139,0.17,2024-11-26
р. Тайынты - с. Акбулан,238,2.77,2024-11-26
р. Киши Ульби - с. Горная Ульбинка,128,0,2024-11-26
р. Ертис - с. Уварова,248,0,2024-11-26
р. Оба - с. Верхуба,155,0,2024-11-26
р. Малая Убинка - с. Быструха,54,0.19,2024-11-26
р. Оба - с. Каракожа,113,22.2,2024-11-26
р. Оба - г. Шемонаиха,59,62.1,2024-11-26
вдхр. Буктырма - п. Тугыл,0,0,2024-11-26
р. Кандысу - с. Сарыолен,0,0,2024-11-26
